categories	markers	variants
Labeling and mislabeling	I am a	["I'm a", "Im a"]
Labeling and mislabeling	he is a	["he's a", "hes a"]
Labeling and mislabeling	she is a	["she's a", "shes a"]
Labeling and mislabeling	they are a	["they're a", "theyre a"]
Labeling and mislabeling	it is a	["it's a", "its a"]
Labeling and mislabeling	that is a	["that's a", "thats a"]
Labeling and mislabeling	sucks at
Labeling and mislabeling	suck at
Labeling and mislabeling	I never
Labeling and mislabeling	he never
Labeling and mislabeling	she never
Labeling and mislabeling	you never
Labeling and mislabeling	we never
Labeling and mislabeling	they never
Labeling and mislabeling	I am an	["I'm an", "Im an"]
Labeling and mislabeling	he is an	["he's an", "hes an"]
Labeling and mislabeling	she is an	["she's an", "shes an"]
Labeling and mislabeling	they are an	["they're an", "theyre an"]
Labeling and mislabeling	it is an	["it's an", "its an"]
Labeling and mislabeling	that is an	["that's an", "thats an"]
Labeling and mislabeling	a burden
Labeling and mislabeling	a complete
Labeling and mislabeling	a completely
Labeling and mislabeling	a huge
Labeling and mislabeling	a loser
Labeling and mislabeling	a major
Labeling and mislabeling	a total
Labeling and mislabeling	a totally
Labeling and mislabeling	a weak
Labeling and mislabeling	an absolute
Labeling and mislabeling	an utter
Labeling and mislabeling	a bad
Labeling and mislabeling	a broken
Labeling and mislabeling	a damaged
Labeling and mislabeling	a helpless
Labeling and mislabeling	a hopeless
Labeling and mislabeling	an incompetent
Labeling and mislabeling	a toxic
Labeling and mislabeling	an ugly
Labeling and mislabeling	an undesirable
Labeling and mislabeling	an unlovable
Labeling and mislabeling	a worthless
Labeling and mislabeling	a horrible
Labeling and mislabeling	a terrible
Catastrophizing	will fail	["'ll fail"]
Catastrophizing	will go wrong	["'ll go wrong"]
Catastrophizing	will end	["'ll end"]
Catastrophizing	will be impossible	["'ll be impossible"]
Catastrophizing	will not happen	["won't happen", "wont happen"]
Catastrophizing	will be terrible	["'ll be terrible"]
Catastrophizing	will be horrible	["'ll be horrible"]
Catastrophizing	will be a catastrophe	["'ll be a catastrophe"]
Catastrophizing	will be a disaster	["'ll be a disaster"]
Catastrophizing	will never end
Catastrophizing	will not end	["won't end", "wont end"]
Dichotomous Reasoning	only
Dichotomous Reasoning	every
Dichotomous Reasoning	everyone
Dichotomous Reasoning	everybody
Dichotomous Reasoning	everything
Dichotomous Reasoning	everywhere
Dichotomous Reasoning	always
Dichotomous Reasoning	perfect
Dichotomous Reasoning	the best
Dichotomous Reasoning	all
Dichotomous Reasoning	not a single	["'t a single"]
Dichotomous Reasoning	no one
Dichotomous Reasoning	nobody
Dichotomous Reasoning	nothing
Dichotomous Reasoning	nowhere
Dichotomous Reasoning	never
Dichotomous Reasoning	worthless
Dichotomous Reasoning	the worst
Dichotomous Reasoning	neither
Dichotomous Reasoning	nor
Dichotomous Reasoning	either or
Dichotomous Reasoning	black or white
Dichotomous Reasoning	ever
Emotional Reasoning	but I feel
Emotional Reasoning	since I feel
Emotional Reasoning	because I feel
Emotional Reasoning	but it feels
Emotional Reasoning	since it feels
Emotional Reasoning	because it feels
Emotional Reasoning	still feels
Disqualifying the Positive	great but
Disqualifying the Positive	good but
Disqualifying the Positive	OK but
Disqualifying the Positive	not that great	["'t that great"]
Disqualifying the Positive	not that good	["'t that good"]
Disqualifying the Positive	it was not	["it wasn't", "it wasnt"]
Disqualifying the Positive	not all that	["'t all that"]
Disqualifying the Positive	fine but
Disqualifying the Positive	acceptable but
Disqualifying the Positive	great yet
Disqualifying the Positive	good yet
Disqualifying the Positive	OK yet
Disqualifying the Positive	fine yet
Disqualifying the Positive	acceptable yet
Magnification and Minimization	worst
Magnification and Minimization	best
Magnification and Minimization	not important	["'t important"]
Magnification and Minimization	not count	["'t count"]
Magnification and Minimization	not matter	["'t matter"]
Magnification and Minimization	no matter
Magnification and Minimization	the only thing
Magnification and Minimization	the one thing
Mental Filtering	I see only
Mental Filtering	all I see
Mental Filtering	all I can see
Mental Filtering	can only think
Mental Filtering	nothing good
